DenunciaID;Fecha_Creacion;Comuna;Motivo_Denuncia;Rubro
2035;2019-01-07 13:30:47;4;Cumplimiento parcial o defectuoso de la prestacion del servicio - Facturacion excesiva/consumos no realizados;SERVICIOS PUBLICOS DOMICILIARIOS
2036;2019-01-07 13:55:56;12;Cumplimiento parcial o defectuoso de la prestacion del servicio - Falta de o conectividad deficiente;SERVICIOS DE COMUNICACIONES
2037;2019-01-07 14:09:44;11;Falta de cumplimento garantia posventa;TEXTIL, CALZADO Y MARROQUINERIA
2039;2019-01-07 14:30:06;11;Falta de cumplimento garantia posventa;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2040;2019-01-08 09:22:47;9;Entrega Defectuosa - Producto danado;TELEFONIA Y REDES
2041;2019-01-08 09:40:08;9;Extravio o hurto de mercaderias transportadas;SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
2042;2019-01-08 09:49:58;12;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2043;2019-01-08 10:04:26;11;No reconocimiento de pagos;FARMACIA Y PRODUCTOS PARA LA SALUD
2044;2019-01-08 11:00:07;12;Problemas de fraude o estafa;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2047;2019-01-08 11:52:53;12;Clausulas abusivas o no convenidas;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2048;2019-01-08 12:32:06;12;Clausulas abusivas o no convenidas;GESTORIA Y SERVICIOS DE CONSULTORIA
2050;2019-01-08 13:37:32;12;Precios - Ausencia o falta de exhibicion;SERVICIOS DE COMUNICACIONES
2051;2019-01-08 14:21:41;9;Clausulas abusivas o no convenidas;ALIMENTOS Y BEBIDAS
2054;2019-01-08 14:45:59;4;Entrega Defectuosa - Producto danado;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2055;2019-01-09 08:46:31;9;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
2056;2019-01-09 08:48:34;12;Cumplimiento parcial o defectuoso de la prestacion del servicio - Tareas o prestaciones pendientes;PELUQUERIA, DEPILACION, BELLEZA Y BIENESTAR FISICO
2057;2019-01-09 09:07:39;12;Precios - Aumento no previsto o sin autorizacion contractual o legal;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2058;2019-01-09 09:16:09;4;Cumplimiento parcial o defectuoso de la prestacion del servicio - Falta de o conectividad deficiente;SERVICIOS DE COMUNICACIONES
2059;2019-01-09 09:35:06;4;Existencia de clausulas ;SERVICIOS DE COMUNICACIONES
2060;2019-01-09 09:51:16;12;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2062;2019-01-09 10:10:13;9;Falta de procesamiento de baja del servicio gastos asociados;SERVICIOS DE COMUNICACIONES
2063;2019-01-09 10:28:33;12;Cumplimiento parcial o defectuoso de la prestacion del servicio - Demora en el cumplimiento de la prestacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2064;2019-01-09 10:36:51;12;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;SERVICIOS DE COMUNICACIONES
2065;2019-01-09 11:19:13;4;Problemas de fraude o estafa;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2066;2019-01-09 11:23:46;1;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;ALQUILER DE VEHICULOS Y SERVICIO DE REMOLQUE
2067;2019-01-09 11:32:29;12;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2068;2019-01-09 11:36:01;9;Entrega Defectuosa - Faltante de partes o accesorios;MUEBLES
2070;2019-01-09 11:54:06;4;Deficiente calidad en la prestacion del servicio;SERVICIOS DE CONSTRUCCION PARA EL HOGAR Y COMERCIALIZACION DE INMUEBLES
2071;2019-01-09 12:02:05;4;Cumplimiento parcial o defectuoso de la prestacion del servicio - Tareas o prestaciones pendientes;SERVICIOS DE CONSTRUCCION PARA EL HOGAR Y COMERCIALIZACION DE INMUEBLES
2072;2019-01-09 12:13:52;4;Cumplimiento parcial o defectuoso de la prestacion del servicio - Tareas o prestaciones pendientes;SERVICIOS DE CONSTRUCCION PARA EL HOGAR Y COMERCIALIZACION DE INMUEBLES
2073;2019-01-09 12:18:54;12;Precios - Precio excesivo;SERVICIOS DE COMUNICACIONES
2074;2019-01-09 12:27:55;11;Cumplimiento parcial o defectuoso de la prestacion del servicio - Demora en el cumplimiento de la prestacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2075;2019-01-09 12:54:39;4;Cumplimiento parcial o defectuoso de la prestacion del servicio - Debito de cargos indebidos no solicitados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2077;2019-01-09 13:39:31;9;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;SERVICIOS DE COMUNICACIONES
2078;2019-01-09 13:52:08;4;Entrega Defectuosa - Producto danado;TELEFONIA Y REDES
2079;2019-01-09 13:58:56;1;Problemas de fraude o estafa;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2081;2019-01-09 14:15:23;1;Demora en la entrega del bien;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2082;2019-01-09 14:32:18;1;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2083;2019-01-10 08:49:00;11;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2084;2019-01-10 09:12:20;9;Entrega Defectuosa - Producto danado;INFORMATICA
2085;2019-01-10 10:01:26;3;Falta de Entrega del bien;TEXTIL, CALZADO Y MARROQUINERIA
2086;2019-01-10 10:18:35;3;Falta de procesamiento de baja del servicio gastos asociados;SERVICIOS DE COMUNICACIONES
2090;2019-01-10 11:14:35;9;Practicas Abusivas - Venta Enganosa;SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
2091;2019-01-10 11:45:23;3;Clausulas abusivas o no convenidas;TELEFONIA Y REDES
2092;2019-01-10 11:47:59;12;Cumplimiento parcial o defectuoso de la prestacion del servicio - Debito de cargos indebidos no solicitados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2094;2019-01-10 12:07:04;1;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
2095;2019-01-10 12:48:07;3;Falta de procesamiento de baja del servicio gastos asociados;SERVICIOS DE COMUNICACIONES
2096;2019-01-10 12:49:57;4;Cumplimiento parcial o defectuoso de la prestacion del servicio - Falta de elaboracion del contrato;SERVICIOS DE CONSTRUCCION PARA EL HOGAR Y COMERCIALIZACION DE INMUEBLES
2097;2019-01-10 12:50:48;11;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;SERVICIOS DE COMUNICACIONES
2098;2019-01-10 13:21:12;11;Cumplimiento parcial o defectuoso de la prestacion del servicio - Demora en el cumplimiento de la prestacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2099;2019-01-10 13:21:37;4;Falta de Entrega del bien;MUEBLES
2101;2019-01-10 13:38:36;1;Clausulas abusivas o no convenidas;MUEBLES
2102;2019-01-10 13:44:26;4;Clausulas abusivas o no convenidas;REPARACION DE RODADOS, AUTOMOTORES Y EMBARCACIONES
2103;2019-01-10 13:52:07;4;Falta de Entrega del bien;ALIMENTOS Y BEBIDAS
2104;2019-01-10 13:54:40;3;Cumplimiento parcial o defectuoso de la prestacion del servicio - Demora en el cumplimiento de la prestacion;SERVICIOS DE COMUNICACIONES
2106;2019-01-10 14:25:41;11;Problemas con la devolucion del bien o el reembolso de sumas - Restricciones abusivas en las modalidades de devolucion o reembolso;TEXTIL, CALZADO Y MARROQUINERIA
2108;2019-01-11 08:46:57;7;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
2109;2019-01-11 08:52:54;12;Clausulas abusivas o no convenidas;ALIMENTOS Y BEBIDAS
2110;2019-01-11 09:06:56;11;Problemas de fraude o estafa;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2111;2019-01-11 09:25:18;9;Deficiente calidad en la prestacion del servicio;SERVICIOS DE CONSTRUCCION PARA EL HOGAR Y COMERCIALIZACION DE INMUEBLES
2112;2019-01-11 09:32:39;4;Falta de entrega del documento de venta del producto: factura, remito, ticket, etc.;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2113;2019-01-11 09:40:51;3;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
2114;2019-01-11 09:45:34;11;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2115;2019-01-11 09:46:47;3;Cumplimiento parcial o defectuoso de la prestacion del servicio - Debito de cargos indebidos no solicitados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2116;2019-01-11 09:47:45;4;Clausulas abusivas o no convenidas;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2118;2019-01-11 10:31:16;4;Cumplimiento parcial o defectuoso de la prestacion del servicio - Falta de o conectividad deficiente;SERVICIOS DE COMUNICACIONES
2119;2019-01-11 10:36:44;7;Clausulas abusivas o no convenidas;RODADOS, AUTOMOTORES Y EMBARCACIONES
2120;2019-01-11 10:42:16;12;Cancelacion o supresion de vuelos ;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2122;2019-01-11 10:51:21;11;Falta de procesamiento de baja del servicio gastos asociados;SERVICIOS DE COMUNICACIONES
2123;2019-01-11 10:59:50;12;Deficiente calidad en la prestacion del servicio;SERVICIOS DE CONSTRUCCION PARA EL HOGAR Y COMERCIALIZACION DE INMUEBLES
2124;2019-01-11 11:03:25;3;Cumplimiento parcial o defectuoso de la prestacion del servicio - Falta de o conectividad deficiente;SERVICIOS DE COMUNICACIONES
2125;2019-01-11 11:03:42;11;Falta de cumplimento garantia posventa;TEXTIL, CALZADO Y MARROQUINERIA
2126;2019-01-11 11:45:38;12;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2127;2019-01-11 11:50:52;9;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE CONSTRUCCION PARA EL HOGAR Y COMERCIALIZACION DE INMUEBLES
2128;2019-01-11 11:57:50;7;Demora en la entrega del bien;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2129;2019-01-11 12:02:35;4;Cumplimiento parcial o defectuoso de la prestacion del servicio - Falta de o conectividad deficiente;SERVICIOS DE COMUNICACIONES
2130;2019-01-11 12:11:40;1;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;RODADOS, AUTOMOTORES Y EMBARCACIONES
2132;2019-01-11 12:13:59;1;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2133;2019-01-11 12:26:27;9;Entrega Defectuosa - Producto danado;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2134;2019-01-11 12:43:46;3;Falta de entrega o emision del documento de contratacion del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.;SERVICIOS DE COMUNICACIONES
2135;2019-01-11 12:46:30;1;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS PUBLICOS DOMICILIARIOS
2136;2019-01-11 14:07:19;7;Clausulas abusivas o no convenidas;SERVICIOS DE CONSTRUCCION PARA EL HOGAR Y COMERCIALIZACION DE INMUEBLES
2137;2019-01-11 14:09:01;1;Clausulas abusivas o no convenidas;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2138;2019-01-14 08:55:34;1;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.241 - Practicas Abusivas - Venta  Enganosa;ALIMENTOS Y BEBIDAS
2139;2019-01-14 08:56:54;4;Clausulas abusivas o no convenidas;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2140;2019-01-14 08:57:32;12;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2141;2019-01-14 09:00:20;4;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2142;2019-01-14 09:20:25;6;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;SERVICIOS DE COMUNICACIONES
2143;2019-01-14 09:37:52;11;Precios - Precio excesivo;SERVICIOS DE COMUNICACIONES
2145;2019-01-14 09:50:01;1;Entrega Defectuosa - Producto danado;TELEFONIA Y REDES
2146;2019-01-14 09:50:03;3;Cumplimiento parcial o defectuoso de la prestacion del servicio - Debito de cargos indebidos no solicitados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2147;2019-01-14 09:56:24;12;Falta de Entrega del bien;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2148;2019-01-14 10:29:55;1;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
2149;2019-01-14 10:37:00;6;Practicas Abusivas - Venta Enganosa;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2150;2019-01-14 10:37:31;7;Cumplimiento parcial o defectuoso de la prestacion del servicio - Falta de o conectividad deficiente;SERVICIOS DE COMUNICACIONES
2151;2019-01-14 10:40:14;6;Problemas de fraude o estafa;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2152;2019-01-14 10:42:23;12;Falta de Entrega del bien;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2154;2019-01-14 10:54:52;1;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2155;2019-01-14 10:59:54;6;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
2158;2019-01-14 11:10:03;11;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2159;2019-01-14 11:11:59;6;Clausulas abusivas o no convenidas;FARMACIA Y PRODUCTOS PARA LA SALUD
2161;2019-01-14 11:16:00;6;Cumplimiento parcial o defectuoso de la prestacion del servicio - Tareas o prestaciones pendientes;PELUQUERIA, DEPILACION, BELLEZA Y BIENESTAR FISICO
2162;2019-01-14 11:35:54;12;Practicas Abusivas - Venta Enganosa;SERVICIOS DE COMUNICACIONES
2163;2019-01-14 11:46:11;7;Falta de procesamiento de baja del servicio gastos asociados;SERVICIOS DE COMUNICACIONES
2164;2019-01-14 11:47:40;1;Falta de Entrega del bien;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2165;2019-01-14 11:48:31;6;Clausulas abusivas o no convenidas;TELEFONIA Y REDES
2166;2019-01-14 11:52:33;12;Falta de cumplimento garantia posventa;TELEFONIA Y REDES
2167;2019-01-14 12:01:19;6;Cumplimiento parcial o defectuoso de la prestacion del servicio - Debito de cargos indebidos no solicitados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2168;2019-01-14 12:03:04;7;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;SERVICIOS DE COMUNICACIONES
2169;2019-01-14 12:11:05;3;Cumplimiento parcial o defectuoso de la prestacion del servicio - Baja/Alta tension en el suministro electrico;SERVICIOS PUBLICOS DOMICILIARIOS
2170;2019-01-14 12:18:20;6;No reconocimiento de pagos;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2173;2019-01-14 12:34:26;11;Precios - Precio excesivo;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2174;2019-01-14 12:38:48;6;Falta de Entrega del bien;TEXTIL, CALZADO Y MARROQUINERIA
2177;2019-01-14 12:55:22;7;Practicas Abusivas - Venta  Enganosa;RODADOS, AUTOMOTORES Y EMBARCACIONES
2179;2019-01-14 13:01:36;6;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2180;2019-01-14 13:23:06;12;Entrega Defectuosa - Faltante de partes o accesorios;MUEBLES
2182;2019-01-14 13:37:25;7;Modificacion baja de senales;SERVICIOS DE COMUNICACIONES
2186;2019-01-14 13:42:05;12;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
2187;2019-01-14 13:52:09;7;Precios - Precio excesivo;SERVICIOS DE COMUNICACIONES
2188;2019-01-14 13:57:48;12;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;SERVICIOS DE COMUNICACIONES
2189;2019-01-14 13:59:23;3;Cumplimiento parcial o defectuoso de la prestacion del servicio - Debito de cargos indebidos no solicitados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2190;2019-01-14 14:03:35;7;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2192;2019-01-14 14:13:03;11;Entrega Defectuosa - Producto danado;INFORMATICA
2193;2019-01-14 14:23:45;1;Cumplimiento parcial o defectuoso de la prestacion del servicio - Demora en el cumplimiento de la prestacion;SERVICIOS DE COMUNICACIONES
2194;2019-01-14 14:23:48;11;Demora en la entrega del bien;MUEBLES
2196;2019-01-14 14:29:23;6;Cancelacion o supresion de vuelos;SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
2197;2019-01-14 14:41:42;6;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2199;2019-01-14 14:49:56;6;Cumplimiento parcial o defectuoso de la prestacion del servicio - Tareas o prestaciones pendientes;SERVICIOS DE COMUNICACIONES
2200;2019-01-14 14:56:27;6;Clausulas abusivas o no convenidas;TEXTIL, CALZADO Y MARROQUINERIA
2201;2019-01-15 08:26:34;6;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2202;2019-01-15 08:31:03;7;Cumplimiento parcial o defectuoso de la prestacion del servicio - Falta de o conectividad deficiente;SERVICIOS DE COMUNICACIONES
2203;2019-01-15 08:31:05;7;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;SERVICIOS DE COMUNICACIONES
2204;2019-01-15 08:34:10;6;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2206;2019-01-15 09:01:37;11;Falta de procesamiento de baja del servicio gastos asociados;SERVICIOS DE COMUNICACIONES
2207;2019-01-15 09:20:43;11;Falta de procesamiento de baja del servicio gastos asociados;SERVICIOS DE COMUNICACIONES
2208;2019-01-15 09:43:03;3;Producto no funciona;TELEFONIA Y REDES
2209;2019-01-15 09:45:47;1;Entrega Defectuosa - Producto danado;TEXTIL, CALZADO Y MARROQUINERIA
2210;2019-01-15 09:49:09;3;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;SERVICIOS DE COMUNICACIONES
2211;2019-01-15 10:00:08;15;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;TEXTIL, CALZADO Y MARROQUINERIA
2212;2019-01-15 10:19:52;12;Precios - Aumento no previsto o sin autorizacion contractual o legal;SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
2213;2019-01-15 10:20:04;3;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2214;2019-01-15 10:22:18;15;Falta de Entrega del bien;RODADOS, AUTOMOTORES Y EMBARCACIONES
2220;2019-01-15 10:37:48;1;Cumplimiento parcial o defectuoso de la prestacion del servicio - Falta de o conectividad deficiente;SERVICIOS DE COMUNICACIONES
2221;2019-01-15 10:39:31;15;Problemas de fraude o estafa;SERVICIOS DE COMUNICACIONES
2223;2019-01-15 10:48:41;4;Extravio o hurto de mercaderias transportadas;SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
2224;2019-01-15 10:50:54;11;Garantia de Bienes. Art 11  Ley 24.240 - Falta de suministro de partes y accesorios;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2225;2019-01-15 10:52:33;15;Problemas de fraude o estafa;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2226;2019-01-15 11:03:26;6;Cumplimiento parcial o defectuoso de la prestacion del servicio - Sin Tono/Linea;SERVICIOS DE COMUNICACIONES
2227;2019-01-15 11:15:28;4;Cumplimiento parcial o defectuoso de la prestacion del servicio - Interferencias/ Ruidos ;SERVICIOS DE COMUNICACIONES
2228;2019-01-15 11:16:37;15;Garantia de Bienes. Art 11  Ley 24.240 - Reparacion insatisfactoria;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
2231;2019-01-15 11:29:36;15;Falta de procesamiento de baja del servicio gastos asociados;SERVICIOS DE COMUNICACIONES
2232;2019-01-15 11:32:54;1;Cumplimiento parcial o defectuoso de la prestacion del servicio - Interrupcion o corte de suministro;SERVICIOS PUBLICOS DOMICILIARIOS
2233;2019-01-15 11:41:58;15;Modificacion baja de senales;SERVICIOS DE COMUNICACIONES
2234;2019-01-15 11:42:56;6;Cumplimiento parcial o defectuoso de la prestacion del servicio - Debito de cargos indebidos no solicitados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
2236;2019-01-15 12:03:16;3;Cumplimiento parcial o defectuoso de la prestacion del servicio - Debito de cargos indebidos no solicitados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
